Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
Garr199904,PBR,1,39,1,14,1-14,True,True,0.015325670409216676
Garr199904,PBR,2,38,1,12,1-12,True,True,0.01487314076331948
Garr199904,PBR,3,38,1,15,1-15,True,True,0.014172661775572108
Garr199904,PBR,4,33,1,2,1-2,True,True,0.01333570403224471
Garr199904,PBR,5,33,1,4,1-4,True,True,0.012440003828933587
Garr199904,PBR,6,33,1,8,1-8,True,True,0.011537211485269112
Garr199904,EFFRES,1,123,6,20,6-20,True,True,0.04757294979855284
Garr199904,EFFRES,2,123,4,11,4-11,True,True,0.04962229097455695
Garr199904,EFFRES,3,22,2,15,2-15,True,True,0.05054955344100978
Garr199904,EFFRES,4,78,7,16,7-16,True,True,0.03454347186477248
Garr199904,EFFRES,5,73,8,12,8-12,True,True,0.05255744381503778
Garr199904,EFFRES,6,73,9,18,9-18,True,True,0.05473667449301637
Garr199904,IVI,1,43,1,21,1-21,True,True,0.5453140196041873
Garr199904,IVI,2,34,1,4,1-4,True,True,0.47389272032338947
Garr199904,IVI,3,34,1,8,1-8,True,True,-0.058382025560573904
Garr199904,IVI,4,34,1,9,1-9,True,True,0.16180424706253546
Garr199904,IVI,5,33,1,2,1-2,True,True,-0.13431357045997927
Garr199904,IVI,6,33,1,10,1-10,True,True,-0.07674550761214594
Garr199904,NNSI,1,35,1,8,1-8,True,True,0.0
Garr199904,NNSI,2,36,1,10,1-10,True,True,0.0
Garr199904,NNSI,3,32,0,1,0-1,True,True,0.0
Garr199904,NNSI,4,32,1,2,1-2,True,True,0.0
Garr199904,NNSI,5,32,1,4,1-4,True,True,0.0
Garr199904,NNSI,6,32,1,9,1-9,True,True,0.0
Cesnet200511,PBR,1,41,35,38,35-38,True,True,0.024403749334016147
Cesnet200511,PBR,2,41,6,35,6-35,True,True,0.0197579093965014
Cesnet200511,PBR,3,41,17,35,17-35,True,True,0.015178096631503806
Cesnet200511,PBR,4,41,23,35,23-35,True,True,0.013879530946663108
Cesnet200511,PBR,5,41,35,36,35-36,True,True,0.01269296730667684
Cesnet200511,PBR,6,41,1,35,1-35,True,True,0.010856807425430154
Cesnet200511,PBR,7,41,2,35,2-35,True,True,0.010065227090735976
Cesnet200511,PBR,8,41,4,35,4-35,True,True,0.009328063167444002
Cesnet200511,PBR,9,40,9,35,9-35,True,True,0.010717677296364846
Cesnet200511,PBR,10,41,8,35,8-35,True,True,0.007788106029930105
Cesnet200511,EFFRES,1,0,15,19,15-19,True,True,0.08241395747350083
Cesnet200511,EFFRES,2,0,2,19,2-19,True,True,0.055657860025660734
Cesnet200511,EFFRES,3,0,13,15,13-15,True,True,0.05299710794324127
